Year,Country,CO2 emissions (tonnes)
1991,Indonesia,180695289.5
1992,Indonesia,203659373.7
1993,Indonesia,219856328.5
1994,Indonesia,222967641.4
1995,Indonesia,226669943.6
1996,Indonesia,255207090.1
1997,Indonesia,280896520.2
1998,Indonesia,216104916.5
1999,Indonesia,244101581.6
2000,Indonesia,265983184.0
2001,Indonesia,297770560.0
2002,Indonesia,307578168.0
2003,Indonesia,316854168.0
2004,Indonesia,340076520.0
2005,Indonesia,343579936.0
2006,Indonesia,346699720.0
2007,Indonesia,377122624.0
2008,Indonesia,417792048.0
2009,Indonesia,447301088.0
2010,Indonesia,427789520.0
2011,Indonesia,601325416.0
2012,Indonesia,633145032.0
2013,Indonesia,486130031.7
2014,Indonesia,460015658.7
2015,Indonesia,459628755.9
2016,Indonesia,464856818.4
